	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
125	0.306	0.722	-5.963	0.034	0.0519	0.0	0.117	0.41	174.732	200293.0
126	0.742	0.533	-9.098	0.0288	0.459	0.148	0.064	0.391	97.395	329147.0
127	0.595	0.426	-9.763	0.0285	0.293	1.32e-06	0.171	0.268	110.183	336160.0
128	0.801	0.723	-4.985	0.0689	0.0713	0.154	0.0675	0.883	109.03	180518.0
129	0.514	0.65	-8.867	0.499	0.138	0.0	0.103	0.236	127.428	179149.0
130	0.189	0.39	-14.497	0.0353	0.257	0.000152	0.122	0.32	169.563	370867.0
131	0.757	0.651	-14.916	0.0333	0.214	0.261	0.0902	0.861	124.368	332230.0
132	0.556	0.913	-2.36	0.0437	0.0193	8.59e-06	0.346	0.73	96.184	282160.0
133	0.454	0.788	-6.748	0.0371	0.574	0.000766	0.0859	0.52	126.15	294720.0
134	0.557	0.533	-6.817	0.0252	0.0492	0.0	0.205	0.233	143.994	238733.0
135	0.243	0.609	-8.451	0.0323	0.663	1.13e-05	0.221	0.333	166.668	258027.0
136	0.863	0.408	-10.558	0.0505	0.00334	9.56e-06	0.224	0.819	89.127	182547.0
137	0.566	0.834	-8.412	0.0298	0.00277	0.008	0.0625	0.621	123.296	331560.0
138	0.674	0.347	-17.707	0.0364	0.396	1.05e-05	0.0916	0.647	102.013	267267.0
139	0.524	0.807	-4.16	0.0579	0.00415	0.000834	0.212	0.62	124.127	246813.0
140	0.489	0.483	-9.466	0.0275	0.42	0.0028	0.236	0.333	136.822	226706.0
141	0.584	0.533	-7.11	0.0305	0.684	0.0	0.306	0.224	131.745	288427.0
142	0.588	0.845	-4.497	0.0377	0.00869	0.0	0.326	0.745	138.014	231560.0
143	0.657	0.435	-15.707	0.0552	0.739	0.0	0.167	0.771	135.975	181133.0
144	0.765	0.89	-4.222	0.0674	0.121	0.00571	0.244	0.822	110.128	226613.0
145	0.675	0.479	-9.87	0.0278	0.633	1.76e-05	0.088	0.454	81.998	209493.0
146	0.48	0.529	-7.825	0.0275	0.17	4.27e-06	0.257	0.469	81.527	295480.0
147	0.696	0.683	-8.766	0.126	0.0224	1.81e-06	0.135	0.796	86.667	275753.0
148	0.522	0.79	-7.943	0.0627	0.00936	0.0	0.0881	0.743	122.585	260200.0
149	0.665	0.834	-7.737	0.0576	0.21	0.0	0.452	0.411	105.292	249493.0
150	0.604	0.366	-7.519	0.0282	0.578	0.0	0.133	0.13	141.981	224695.0
151	0.503	0.858	-6.296	0.0657	0.00757	0.00234	0.0803	0.419	133.615	208653.0
152	0.458	0.795	-3.265	0.0574	0.00316	0.000202	0.0756	0.513	123.229	255373.0
153	0.759	0.927	-2.768	0.051	0.11	0.029	0.374	0.96	115.075	198507.0
154	0.729	0.989	-4.613	0.049	0.0102	4.45e-05	0.443	0.84	126.47	352906.0
155	0.5	0.824	-5.846	0.0388	0.00016	0.00161	0.0916	0.539	120.125	218920.0
156	0.649	0.647	-7.695	0.0452	0.0039	0.161	0.0686	0.405	125.02	337733.0
157	0.395	0.527	-10.059	0.0346	0.182	0.314	0.344	0.236	113.752	289595.0
158	0.143	0.0114	-32.394	0.0427	0.958	0.853	0.106	0.0685	70.634	179625.0
159	0.596	0.835	-13.021	0.0418	0.0418	1.11e-05	0.059	0.637	101.359	324333.0
160	0.4	0.879	-3.402	0.102	8.42e-05	0.0	0.518	0.304	163.528	216653.0
161	0.342	0.294	-15.989	0.0426	0.592	0.674	0.0944	0.132	84.014	220008.0
162	0.174	0.742	-5.93	0.0485	0.00181	0.281	0.198	0.36	163.378	223747.0
163	0.454	0.913	-4.008	0.107	0.408	0.000271	0.248	0.521	137.688	293183.0
164	0.634	0.97	-9.585	0.0569	0.0156	0.88	0.34	0.202	137.997	405693.0
