,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"Bagatelle in A Minor, WoO 59 ""Für Elise""",0.272,0.0129,-34.489,0.0416,0.991,0.903,0.0755,0.212,68.853,177627.0
"Pomp and Circumstance, Op. 39: No. 1, March in D Major",0.274,0.434,-11.61,0.0433,0.689,0.76,0.0705,0.315,131.962,345667.0
Carmen Suite No. 2: II. Habanera,0.457,0.0158,-24.725,0.0388,0.981,0.304,0.0684,0.404,120.855,132533.0
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": IV. Presto ""Ode to Joy""",0.229,0.631,-10.319,0.0405,0.839,0.000229,0.105,0.334,76.386,152613.0
"Les contes d'Hoffmann, Act III: Belle nuit, ô nuit d'amour ""Barcarolle"" (Instrumental Version)",0.192,0.141,-19.693,0.0336,0.947,0.527,0.267,0.0676,79.892,213587.0
Adagio in G Minor,0.139,0.11,-16.155,0.0362,0.453,0.902,0.107,0.0377,174.865,300213.0
"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro",0.425,0.274,-13.4,0.0415,0.974,0.945,0.101,0.393,138.197,351427.0
Il barbiere di Siviglia: Overture,0.322,0.14,-20.747,0.0489,0.906,0.759,0.125,0.285,92.122,425000.0
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0.308,0.00329,-38.602,0.0566,0.995,0.878,0.135,0.267,67.982,395347.0
Má Vlast (My Fatherland): Vltava (The Moldau River),0.193,0.239,-14.418,0.0332,0.846,0.792,0.111,0.0548,78.5,686800.0
"String Quintet in E Major, G. 282: III. Minuetto - Trio",0.581,0.0621,-21.149,0.0312,0.959,0.29,0.318,0.543,88.869,228093.0
"Symphony No. 40 in G Minor, K. 550: I. Allegro molto",0.416,0.174,-16.689,0.0353,0.943,0.916,0.118,0.198,109.35,451333.0
"Slavonic Dances, Op. 72: No. 2, Dumka (Allegretto grazioso)",0.173,0.303,-13.254,0.0325,0.825,0.864,0.103,0.0859,96.976,335240.0
"Ave Maria, CG 89a",0.191,0.188,-18.55,0.0467,0.954,0.503,0.147,0.0653,84.689,307213.0
"Finlandia, Op. 26",0.17,0.112,-21.67,0.0399,0.883,0.9,0.147,0.0397,139.028,467520.0
"Piano Sonata No. 11 in A Major, K. 331: III. Alla turca",0.496,0.288,-13.226,0.0392,0.972,0.923,0.0968,0.474,136.169,210700.0
"Die Zauberflöte (The Magic Flute), K. 620: Overture",0.415,0.203,-14.827,0.0427,0.99,0.884,0.107,0.161,85.33,384093.0
"Messiah, HWV 56, Pt. 2 Scene 7: No. 44, Hallelujah (Chorus)",0.477,0.405,-11.441,0.0294,0.958,0.226,0.269,0.492,112.235,212173.0
"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King",0.465,0.0816,-16.478,0.0398,0.79,0.834,0.151,0.141,105.49,163160.0
"Pavane, Op. 50",0.392,0.0152,-30.684,0.0424,0.996,0.885,0.081,0.12,74.963,359464.0
"Concerto for 2 Violins in D Minor, BWV 1043: I. Vivace",0.539,0.375,-14.299,0.0554,0.96,0.00285,0.469,0.86,93.528,232293.0
"L'Arlesienne Suite No. 1, WD 40: I. Prelude",0.258,0.115,-16.312,0.0392,0.976,0.856,0.09,0.0483,114.968,413280.0
"Radetzky March, Op. 228",0.479,0.536,-12.253,0.0338,0.643,0.315,0.293,0.499,104.337,185840.0
"Egmont, Op. 84: Overture in F Minor",0.237,0.16,-14.718,0.0475,0.981,0.782,0.078,0.0775,178.467,477933.0
Cavatina,0.296,0.0329,-26.825,0.0415,0.973,0.907,0.0777,0.225,94.013,188667.0
"Concerto Grosso No. 8 in G Minor, Op. 6, ""Christmas Concerto"": Allegro",0.425,0.16,-13.916,0.0355,0.929,0.0303,0.312,0.563,73.06,147920.0
"14 Romances, Op. 34: No. 14, Vocalise (Lentamente, molto cantabile)",0.121,0.226,-16.447,0.0375,0.92,0.857,0.257,0.0396,92.39,350853.0
"Messa da Requiem: II. Sequence, No. 1, Dies irae - Tuba mirum",0.147,0.397,-11.19,0.0336,0.921,0.876,0.256,0.05,87.637,234960.0
"Symphony No. 5, Pt. 3: IV. Adagietto",0.169,0.184,-17.061,0.0436,0.967,0.9,0.112,0.0321,85.44,660707.0
Beach At Night,0.115,0.0723,-23.486,0.0436,0.832,0.934,0.218,0.0364,80.111,60533.0
"Out Of Africa (End Credits) - From ""Out Of Africa""",0.167,0.0867,-23.525,0.0379,0.598,0.963,0.0966,0.0438,90.619,169067.0
"Mozart: Clarinet Concerto In A major, K622 (Adagio)",0.117,0.0233,-25.127,0.0444,0.974,0.661,0.0808,0.0399,80.295,462640.0
Out Of Africa,0.0777,0.13,-21.709,0.0379,0.244,0.896,0.349,0.0467,173.311,268973.0
"Symphony No. 5 In C Minor, Op. 67, ""Fate"": I. Allegro Con Brio",0.319,0.38,-10.101,0.0376,0.937,0.877,0.0806,0.158,96.412,439069.0
